id1,id2,score,is_correct,classification
metabooks_519173,goodreads_1703,1.0,False,FP
metabooks_519173,goodreads_1805,1.0,False,FP
metabooks_519173,goodreads_1925,1.0,False,FP
metabooks_519173,goodreads_2028,1.0,False,FP
metabooks_519173,goodreads_2079,1.0,False,FP
metabooks_519173,goodreads_2317,1.0,False,FP
metabooks_519173,goodreads_2429,1.0,False,FP
metabooks_519173,goodreads_2482,1.0,False,FP
metabooks_519173,goodreads_2492,1.0,False,FP
metabooks_519173,goodreads_2610,1.0,False,FP
metabooks_40248,goodreads_9120,1.0,False,FP
metabooks_40248,goodreads_12208,1.0,False,FP
metabooks_40248,goodreads_14647,1.0,False,FP
metabooks_40248,goodreads_19752,1.0,False,FP
metabooks_40248,goodreads_22692,1.0,False,FP
metabooks_40248,goodreads_23109,1.0,False,FP
metabooks_40248,goodreads_23446,1.0,False,FP
metabooks_40248,goodreads_27054,1.0,False,FP
metabooks_40248,goodreads_27916,1.0,False,FP
metabooks_40248,goodreads_29757,1.0,False,FP
metabooks_40248,goodreads_32983,1.0,False,FP
metabooks_40248,goodreads_33166,1.0,False,FP
metabooks_40248,goodreads_33402,1.0,False,FP
metabooks_40248,goodreads_35839,1.0,False,FP
metabooks_40248,goodreads_37429,1.0,False,FP
metabooks_40248,goodreads_37483,1.0,False,FP
metabooks_40248,goodreads_39603,1.0,False,FP
metabooks_158530,goodreads_9120,1.0,False,FP
metabooks_158530,goodreads_12208,1.0,False,FP
metabooks_158530,goodreads_14647,1.0,False,FP
metabooks_158530,goodreads_19752,1.0,False,FP
metabooks_158530,goodreads_22692,1.0,False,FP
metabooks_158530,goodreads_23109,1.0,False,FP
metabooks_158530,goodreads_23446,1.0,False,FP
metabooks_158530,goodreads_27054,1.0,False,FP
metabooks_158530,goodreads_27916,1.0,False,FP
metabooks_158530,goodreads_29757,1.0,False,FP
metabooks_158530,goodreads_32983,1.0,False,FP
metabooks_158530,goodreads_33166,1.0,False,FP
metabooks_158530,goodreads_33402,1.0,False,FP
metabooks_158530,goodreads_35839,1.0,False,FP
metabooks_158530,goodreads_37429,1.0,False,FP
metabooks_158530,goodreads_37483,1.0,False,FP
metabooks_158530,goodreads_39603,1.0,False,FP
metabooks_158530,goodreads_41151,1.0,False,FP
metabooks_280517,goodreads_9120,1.0,False,FP
metabooks_280517,goodreads_12208,1.0,False,FP
metabooks_280517,goodreads_14647,1.0,False,FP
metabooks_280517,goodreads_19752,1.0,False,FP
metabooks_280517,goodreads_22692,1.0,False,FP
metabooks_280517,goodreads_23109,1.0,False,FP
metabooks_280517,goodreads_23446,1.0,False,FP
metabooks_280517,goodreads_27054,1.0,False,FP
metabooks_280517,goodreads_27916,1.0,False,FP
metabooks_280517,goodreads_29757,1.0,False,FP
metabooks_280517,goodreads_32983,1.0,False,FP
metabooks_280517,goodreads_33166,1.0,False,FP
metabooks_280517,goodreads_33402,1.0,False,FP
metabooks_280517,goodreads_35839,1.0,False,FP
metabooks_280517,goodreads_37429,1.0,False,FP
metabooks_280517,goodreads_37483,1.0,False,FP
metabooks_280517,goodreads_39603,1.0,False,FP
metabooks_280517,goodreads_41151,1.0,False,FP
metabooks_280517,goodreads_41494,1.0,False,FP
metabooks_505604,goodreads_9120,1.0,False,FP
metabooks_505604,goodreads_12208,1.0,False,FP
metabooks_505604,goodreads_14647,1.0,False,FP
metabooks_505604,goodreads_19752,1.0,False,FP
metabooks_505604,goodreads_22692,1.0,False,FP
metabooks_505604,goodreads_23109,1.0,False,FP
