id1,id2
metabooks_4545,amazon_75497
metabooks_4545,amazon_233386
metabooks_4553,amazon_241135
metabooks_4553,amazon_153026
metabooks_4584,amazon_703
metabooks_4584,amazon_141174
metabooks_4681,amazon_162206
metabooks_4681,amazon_42055
metabooks_4686,amazon_68861
metabooks_4686,amazon_78590
metabooks_4699,amazon_38528
metabooks_4699,amazon_193645
metabooks_4727,amazon_122147
metabooks_4727,amazon_44160
metabooks_4730,amazon_4978
metabooks_4730,amazon_667
metabooks_4731,amazon_194906
metabooks_4731,amazon_266609
metabooks_4732,amazon_125135
metabooks_4732,amazon_31439
metabooks_4740,amazon_186827
metabooks_4740,amazon_33922
metabooks_4748,amazon_230222
metabooks_4748,amazon_20648
metabooks_4756,amazon_135095
metabooks_4756,amazon_119811
metabooks_4792,amazon_217714
metabooks_4792,amazon_73280
metabooks_4796,amazon_135818
metabooks_4796,amazon_186557
metabooks_4804,amazon_228955
metabooks_4804,amazon_228895
metabooks_4829,amazon_34422
metabooks_4829,amazon_52393
metabooks_4833,amazon_57007
metabooks_4833,amazon_220171
metabooks_4840,amazon_7240
metabooks_4840,amazon_57332
metabooks_4842,amazon_187814
metabooks_4842,amazon_224624
metabooks_4846,amazon_200422
metabooks_4846,amazon_210162
metabooks_4861,amazon_8069
metabooks_4861,amazon_52050
metabooks_4902,amazon_160554
metabooks_4902,amazon_76861
metabooks_4907,amazon_166917
metabooks_4907,amazon_117313
metabooks_4909,amazon_200066
metabooks_4909,amazon_125268
metabooks_4924,amazon_124719
metabooks_4924,amazon_77275
metabooks_4934,amazon_151046
metabooks_4934,amazon_36479
metabooks_4958,amazon_10520
metabooks_4958,amazon_19925
metabooks_4963,amazon_150311
metabooks_4963,amazon_119943
metabooks_4964,amazon_97053
metabooks_4964,amazon_240472
metabooks_4972,amazon_108130
metabooks_4972,amazon_121706
metabooks_4979,amazon_64281
metabooks_4979,amazon_71665
metabooks_4993,amazon_253586
metabooks_4993,amazon_96516
metabooks_5020,amazon_21328
metabooks_5020,amazon_169584
metabooks_5021,amazon_150956
metabooks_5021,amazon_108610
metabooks_5025,amazon_126688
metabooks_5025,amazon_19092
metabooks_5028,amazon_116188
metabooks_5028,amazon_41309
metabooks_5033,amazon_188142
metabooks_5033,amazon_35528
metabooks_5045,amazon_12540
metabooks_5045,amazon_162445
metabooks_5049,amazon_1342
metabooks_5049,amazon_67955
metabooks_5059,amazon_109787
metabooks_5059,amazon_10871
metabooks_5079,amazon_231488
metabooks_5079,amazon_221605
metabooks_5093,amazon_172708
metabooks_5093,amazon_49050
metabooks_5094,amazon_36727
metabooks_5094,amazon_239056
metabooks_5111,amazon_130523
metabooks_5111,amazon_6470
metabooks_5116,amazon_195040
metabooks_5116,amazon_42625
metabooks_5165,amazon_173762
metabooks_5165,amazon_176825
metabooks_5170,amazon_18744
metabooks_5170,amazon_17056
metabooks_5191,amazon_156672
metabooks_5191,amazon_106254
metabooks_5209,amazon_123930
metabooks_5209,amazon_125703
metabooks_5210,amazon_40142
metabooks_5210,amazon_14287
metabooks_5238,amazon_158623
metabooks_5238,amazon_50125
metabooks_5281,amazon_64597
metabooks_5281,amazon_225413
metabooks_5285,amazon_113935
metabooks_5285,amazon_222881
metabooks_5299,amazon_145691
metabooks_5299,amazon_98526
metabooks_5310,amazon_76988
metabooks_5310,amazon_67277
metabooks_5339,amazon_135624
metabooks_5339,amazon_235772
metabooks_5340,amazon_231915
metabooks_5340,amazon_131842
metabooks_5365,amazon_18873
metabooks_5365,amazon_175779
metabooks_5369,amazon_14981
metabooks_5369,amazon_111045
metabooks_5377,amazon_254089
metabooks_5377,amazon_189089
metabooks_5402,amazon_4570
metabooks_5402,amazon_127534
metabooks_5431,amazon_262144
metabooks_5431,amazon_191290
metabooks_5492,amazon_39213
metabooks_5492,amazon_264235
metabooks_5525,amazon_268932
metabooks_5525,amazon_256109
metabooks_5530,amazon_197215
metabooks_5530,amazon_197376
metabooks_5537,amazon_180021
metabooks_5537,amazon_150260
metabooks_5541,amazon_86345
metabooks_5541,amazon_213469
metabooks_5552,amazon_194417
metabooks_5552,amazon_242550
metabooks_5555,amazon_193801
metabooks_5555,amazon_218130
metabooks_5557,amazon_131120
metabooks_5557,amazon_71958
metabooks_5603,amazon_209924
metabooks_5603,amazon_137037
metabooks_5614,amazon_10594
metabooks_5614,amazon_59465
metabooks_5624,amazon_150833
metabooks_5624,amazon_266633
metabooks_5636,amazon_69569
metabooks_5636,amazon_9763
metabooks_5640,amazon_128784
metabooks_5640,amazon_127347
metabooks_5646,amazon_220008
metabooks_5646,amazon_50824
metabooks_5671,amazon_265964
metabooks_5671,amazon_96002
metabooks_5677,amazon_41048
metabooks_5677,amazon_191371
metabooks_5687,amazon_18333
metabooks_5687,amazon_134594
metabooks_5696,amazon_89375
metabooks_5696,amazon_199110
metabooks_5704,amazon_165361
metabooks_5704,amazon_6761
metabooks_5709,amazon_114432
metabooks_5709,amazon_70395
metabooks_5729,amazon_108283
metabooks_5729,amazon_123469
metabooks_5746,amazon_214645
metabooks_5746,amazon_219486
metabooks_5751,amazon_59397
metabooks_5751,amazon_97325
metabooks_5762,amazon_128584
metabooks_5762,amazon_101470
metabooks_5775,amazon_144569
metabooks_5775,amazon_229278
metabooks_5784,amazon_5968
metabooks_5784,amazon_3190
metabooks_5789,amazon_221216
metabooks_5789,amazon_154205
metabooks_5814,amazon_37114
metabooks_5814,amazon_44858
metabooks_5822,amazon_50631
metabooks_5822,amazon_44523
metabooks_5857,amazon_67066
metabooks_5857,amazon_11691
metabooks_5918,amazon_128838
metabooks_5918,amazon_125187
metabooks_5937,amazon_68823
metabooks_5937,amazon_161872
metabooks_5989,amazon_142048
metabooks_5989,amazon_169412
metabooks_6004,amazon_84703
metabooks_6004,amazon_31857
metabooks_6005,amazon_254185
metabooks_6005,amazon_36933
metabooks_6016,amazon_12334
metabooks_6016,amazon_87512
metabooks_6028,amazon_133613
metabooks_6028,amazon_1954
metabooks_6035,amazon_132105
metabooks_6035,amazon_247896
metabooks_6049,amazon_31682
metabooks_6049,amazon_62269
metabooks_6140,amazon_41766
metabooks_6140,amazon_229400
metabooks_6177,amazon_71735
metabooks_6177,amazon_205567
metabooks_6215,amazon_20259
metabooks_6215,amazon_24211
metabooks_6220,amazon_119943
metabooks_6220,amazon_88072
metabooks_6265,amazon_116280
metabooks_6265,amazon_43071
metabooks_6276,amazon_111056
metabooks_6276,amazon_145
metabooks_6309,amazon_230494
metabooks_6309,amazon_128421
metabooks_6322,amazon_103150
metabooks_6322,amazon_103155
metabooks_6327,amazon_156750
metabooks_6327,amazon_86387
metabooks_6332,amazon_31759
metabooks_6332,amazon_188701
metabooks_6342,amazon_182974
metabooks_6342,amazon_168556
metabooks_6346,amazon_181649
metabooks_6346,amazon_174569
metabooks_6349,amazon_33940
metabooks_6349,amazon_133717
metabooks_6360,amazon_167242
metabooks_6360,amazon_211470
metabooks_6363,amazon_124031
metabooks_6363,amazon_113775
metabooks_6379,amazon_208485
metabooks_6379,amazon_11818
metabooks_6405,amazon_219066
metabooks_6405,amazon_152273
metabooks_6419,amazon_73193
metabooks_6419,amazon_154862
metabooks_6421,amazon_62300
metabooks_6421,amazon_62298
metabooks_6428,amazon_74988
metabooks_6428,amazon_50338
metabooks_6436,amazon_91081
metabooks_6436,amazon_76427
metabooks_6437,amazon_117376
metabooks_6437,amazon_100622
metabooks_6448,amazon_24333
metabooks_6448,amazon_212468
metabooks_6455,amazon_246519
metabooks_6455,amazon_4156
metabooks_6458,amazon_119764
metabooks_6458,amazon_148599
metabooks_6487,amazon_43720
metabooks_6487,amazon_20109
metabooks_6532,amazon_26212
metabooks_6532,amazon_26211
metabooks_6533,amazon_234161
metabooks_6533,amazon_2253
metabooks_6541,amazon_187753
metabooks_6541,amazon_222496
metabooks_6569,amazon_206680
metabooks_6569,amazon_253785
metabooks_6577,amazon_117954
metabooks_6577,amazon_194601
metabooks_6580,amazon_88808
metabooks_6580,amazon_88801
metabooks_6624,amazon_105248
metabooks_6624,amazon_30147
metabooks_6660,amazon_85572
metabooks_6660,amazon_234639
metabooks_6711,amazon_257362
metabooks_6711,amazon_93199
metabooks_6715,amazon_19133
metabooks_6715,amazon_54299
metabooks_6719,amazon_181988
metabooks_6719,amazon_80997
metabooks_6739,amazon_167125
metabooks_6739,amazon_10297
metabooks_6810,amazon_223096
metabooks_6810,amazon_81936
metabooks_6811,amazon_188547
metabooks_6811,amazon_186627
metabooks_6814,amazon_254167
metabooks_6814,amazon_256858
metabooks_6816,amazon_196137
metabooks_6816,amazon_55989
metabooks_6826,amazon_80209
metabooks_6826,amazon_27202
metabooks_6851,amazon_103507
metabooks_6851,amazon_248691
metabooks_6854,amazon_126538
metabooks_6854,amazon_140208
metabooks_6857,amazon_70854
metabooks_6857,amazon_177955
metabooks_6861,amazon_50643
metabooks_6861,amazon_161261
metabooks_6868,amazon_137161
metabooks_6868,amazon_133255
metabooks_6896,amazon_52623
metabooks_6896,amazon_210249
metabooks_6911,amazon_152892
metabooks_6911,amazon_1764
metabooks_6919,amazon_253780
metabooks_6919,amazon_73163
metabooks_6925,amazon_58584
metabooks_6925,amazon_233657
metabooks_6946,amazon_362
metabooks_6946,amazon_170335
metabooks_6952,amazon_255749
metabooks_6952,amazon_51411
metabooks_6973,amazon_45330
metabooks_6973,amazon_21016
metabooks_6981,amazon_73649
metabooks_6981,amazon_269091
metabooks_6989,amazon_203720
metabooks_6989,amazon_208067
metabooks_7001,amazon_231794
metabooks_7001,amazon_256858
metabooks_7013,amazon_190359
metabooks_7013,amazon_18321
metabooks_7016,amazon_243448
metabooks_7016,amazon_211890
metabooks_7039,amazon_59076
metabooks_7039,amazon_22700
metabooks_7041,amazon_175368
metabooks_7041,amazon_213529
metabooks_7047,amazon_191429
metabooks_7047,amazon_114748
metabooks_7069,amazon_145701
metabooks_7069,amazon_155726
metabooks_7080,amazon_169677
metabooks_7080,amazon_169683
metabooks_7091,amazon_79637
metabooks_7091,amazon_90752
metabooks_7095,amazon_86880
metabooks_7095,amazon_18892
metabooks_7108,amazon_242273
metabooks_7108,amazon_73943
metabooks_7114,amazon_72809
metabooks_7114,amazon_217396
metabooks_7119,amazon_92162
metabooks_7119,amazon_198354
metabooks_7130,amazon_201030
metabooks_7130,amazon_260483
metabooks_7134,amazon_162752
metabooks_7134,amazon_83005
metabooks_7140,amazon_105559
metabooks_7140,amazon_92217
metabooks_7141,amazon_74066
metabooks_7141,amazon_241113
metabooks_7165,amazon_157465
metabooks_7165,amazon_175782
metabooks_7173,amazon_129139
metabooks_7173,amazon_120750
metabooks_7174,amazon_78296
metabooks_7174,amazon_251988
metabooks_7179,amazon_184250
metabooks_7179,amazon_207042
metabooks_7216,amazon_136267
metabooks_7216,amazon_80697
metabooks_7293,amazon_81454
metabooks_7293,amazon_63019
metabooks_7300,amazon_122955
metabooks_7300,amazon_71896
metabooks_7309,amazon_54350
metabooks_7309,amazon_11543
metabooks_7326,amazon_214913
metabooks_7326,amazon_109839
metabooks_7330,amazon_71525
metabooks_7330,amazon_138679
metabooks_7375,amazon_110506
metabooks_7375,amazon_71353
metabooks_7376,amazon_173914
metabooks_7376,amazon_160545
metabooks_7425,amazon_208855
metabooks_7425,amazon_254040
metabooks_7438,amazon_92691
metabooks_7438,amazon_217319
metabooks_7446,amazon_236546
metabooks_7446,amazon_78962
metabooks_7470,amazon_63526
metabooks_7470,amazon_34480
metabooks_7475,amazon_261122
metabooks_7475,amazon_31111
metabooks_7479,amazon_41807
metabooks_7479,amazon_127639
metabooks_7482,amazon_72033
metabooks_7482,amazon_129381
metabooks_7487,amazon_265113
metabooks_7487,amazon_252783
metabooks_7526,amazon_142621
metabooks_7526,amazon_123440
metabooks_7534,amazon_16292
metabooks_7534,amazon_83157
metabooks_7540,amazon_101249
metabooks_7540,amazon_156584
metabooks_7589,amazon_206313
metabooks_7589,amazon_255020
metabooks_7591,amazon_16442
metabooks_7591,amazon_200331
metabooks_7632,amazon_148806
metabooks_7632,amazon_84472
