id1,id2
metabooks_2544,goodreads_11171
metabooks_2547,goodreads_22829
metabooks_2547,goodreads_40164
metabooks_2584,goodreads_40427
metabooks_2584,goodreads_33815
metabooks_2592,goodreads_14834
metabooks_2592,goodreads_7361
metabooks_2612,goodreads_52399
metabooks_2612,goodreads_51228
metabooks_2622,goodreads_26416
metabooks_2622,goodreads_6699
metabooks_2633,goodreads_3872
metabooks_2633,goodreads_2463
metabooks_2635,goodreads_10034
metabooks_2635,goodreads_9467
metabooks_2646,goodreads_50169
metabooks_2646,goodreads_27541
metabooks_2648,goodreads_51312
metabooks_2648,goodreads_7224
metabooks_2674,goodreads_38464
metabooks_2674,goodreads_43070
metabooks_2686,goodreads_9434
metabooks_2686,goodreads_21084
metabooks_2687,goodreads_38492
metabooks_2687,goodreads_10703
metabooks_2689,goodreads_30539
metabooks_2689,goodreads_49820
metabooks_2699,goodreads_44104
metabooks_2699,goodreads_14600
metabooks_2705,goodreads_50103
metabooks_2705,goodreads_50277
metabooks_2759,goodreads_38860
metabooks_2759,goodreads_6594
metabooks_2760,goodreads_30800
metabooks_2760,goodreads_28366
metabooks_2768,goodreads_51624
metabooks_2768,goodreads_16899
metabooks_2801,goodreads_4835
metabooks_2801,goodreads_35878
metabooks_2820,goodreads_11978
metabooks_2820,goodreads_47160
metabooks_2821,goodreads_45509
metabooks_2821,goodreads_45010
metabooks_2879,goodreads_22258
metabooks_2879,goodreads_37097
metabooks_2900,goodreads_27994
metabooks_2900,goodreads_26066
metabooks_2917,goodreads_26987
metabooks_2917,goodreads_2484
metabooks_2933,goodreads_40186
metabooks_2933,goodreads_11253
metabooks_2937,goodreads_17566
metabooks_2937,goodreads_40128
metabooks_2938,goodreads_46885
metabooks_2938,goodreads_7820
metabooks_2944,goodreads_29436
metabooks_2944,goodreads_6791
metabooks_2951,goodreads_2785
metabooks_2951,goodreads_8764
metabooks_2971,goodreads_42825
metabooks_2971,goodreads_21793
metabooks_2972,goodreads_1534
metabooks_2972,goodreads_16701
metabooks_2980,goodreads_21336
metabooks_2980,goodreads_38560
metabooks_2989,goodreads_21264
metabooks_2989,goodreads_12234
metabooks_3016,goodreads_1082
metabooks_3016,goodreads_1094
metabooks_3054,goodreads_45581
metabooks_3054,goodreads_27590
metabooks_3077,goodreads_4647
metabooks_3077,goodreads_3421
metabooks_3088,goodreads_51799
metabooks_3088,goodreads_16604
metabooks_3099,goodreads_24868
metabooks_3099,goodreads_22521
metabooks_3108,goodreads_22850
metabooks_3108,goodreads_11419
metabooks_3129,goodreads_43754
metabooks_3129,goodreads_21511
metabooks_3131,goodreads_37916
metabooks_3131,goodreads_41406
metabooks_3136,goodreads_47919
metabooks_3136,goodreads_18430
metabooks_3146,goodreads_6040
metabooks_3146,goodreads_37095
metabooks_3154,goodreads_1841
metabooks_3154,goodreads_22856
metabooks_3155,goodreads_47060
metabooks_3155,goodreads_14113
metabooks_3157,goodreads_26465
metabooks_3157,goodreads_30812
metabooks_3171,goodreads_2895
metabooks_3171,goodreads_88
