id,source,name,name_norm,map_url,phone_raw,phone_e164,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
yelp-05620,yelp,Cielito Cafe,cielito cafe,https://www.yelp.com/biz/cielito-cafe-houston-3?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17135051467.0,17135051467.0,1309 Enid St,,Enid St,1309,Houston,TX,77009,US,29.80359729413012,-95.3758184,"['breakfast', 'mexican']",3.9,35.0
yelp-05621,yelp,Peirre's Cajun Creations,peirre s cajun creations,https://www.yelp.com/biz/peirres-cajun-creations-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18327790158.0,18327790158.0,,,,,Houston,TX,77018,US,29.82543,-95.42631,[],5.0,2.0
yelp-05622,yelp,Be More Pacific,be more pacific,https://www.yelp.com/biz/be-more-pacific-houston-3?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18325825264.0,18325825264.0,506 Yale St,,Yale St,506,Houston,TX,77007,US,29.780289,-95.398576,[],4.1,520.0
yelp-05623,yelp,A Taste of Chamoy,a taste of chamoy,https://www.yelp.com/biz/a-taste-of-chamoy-houston-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13466303681.0,13466303681.0,11902 Aldine Westfield Rd,,Aldine Westfield Rd,11902,Houston,TX,77093,US,29.885138,-95.35464196211193,['mexican'],0.0,0.0
yelp-05624,yelp,Laredo Taqueria,laredo taqueria,https://www.yelp.com/biz/laredo-taqueria-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136994441.0,17136994441.0,6904 Irvington Blvd,,Irvington Blvd,6904,Houston,TX,77022,US,29.82236,-95.36095,['mexican'],4.2,40.0
yelp-05625,yelp,Teotihuacan Mexican Cafe,teotihuacan mexican cafe,https://www.yelp.com/biz/teotihuacan-mexican-cafe-houston-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136958757.0,17136958757.0,4624 Irvington Blvd,,Irvington Blvd,4624,Houston,TX,77009,US,29.8026448,-95.360804,['mexican'],4.1,146.0
yelp-05626,yelp,TJ Birria Y Mas,tj birria y mas,https://www.yelp.com/biz/tj-birria-y-mas-houston-6?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17133937461.0,17133937461.0,2025 N Durham Dr,,N Durham Dr,2025,Houston,TX,77008,US,29.804785925881216,-95.4126831441802,"['breakfast', 'mexican']",4.4,494.0
yelp-05627,yelp,Trash Panda Drinking Club,trash panda drinking club,https://www.yelp.com/biz/trash-panda-drinking-club-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18325825659.0,18325825659.0,4203 Edison St,,Edison St,4203,Houston,TX,77009,US,29.7984200204236,-95.36303501576184,['pizza'],4.4,106.0
yelp-05628,yelp,Paseo Catracho,paseo catracho,https://www.yelp.com/biz/paseo-catracho-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18327709127.0,18327709127.0,11503 Airline Dr,,Airline Dr,11503,Houston,TX,77037,US,29.9222113453649,-95.4079794511199,[],3.7,23.0
yelp-05629,yelp,Asia Market Thai Lao Food,asia market thai lao food,https://www.yelp.com/biz/asia-market-thai-lao-food-houston-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18329684559.0,18329684559.0,3620 N Main St,,N Main St,3620,Houston,TX,77009,US,29.7911832,-95.3728234,['thai'],4.5,773.0
